17,05,17,16,30,drip,work,Bellevue,WA
17,05,20,09,23,drip,home,Kirkland,WA
17,05,25,14,56,pour over,Urban coffee,Seattle,WA
17,05,27,08,37,drip,home,Tacoma,WA
17,05,28,09,42,pour over,home,Tacoma,WA
17,05,17,08,50,drip,work,Bellevue,WA
17,05,17,10,27,drip,work,Bellevue,WA
17,05,17,12,45,drip,work,Bellevue,WA
17,05,17,16,30,drip,work,Bellevue,WA
17,05,18,08,56,espresso,work,Bellevue,WA
17,05,18,11,39,drip,work,Bellevue,WA
17,05,18,12,50,drip,work,Bellevue,WA
17,05,18,16,56,drip,work,Bellevue,WA
17,05,20,10,23,drip,Roccoco,Kirkland,WA
17,05,20,11,08,drip,Roccoco,Kirkland,WA
17,05,20,13,20,mocha,St. James,Kirkland,WA
17,05,20,14,21,drip,St. James,Kirkland,WA
17,05,19,08,36,drip,work,Bellevue,WA
17,05,19,13,11,drip,work,Bellevue,WA
17,05,19,16,31,drip,work,Bellevue,WA
17,05,21,14,47,flat white,Starbucks,Kirkland,WA
17,05,22,08,38,drip,work,Bellevue,WA
17,05,22,11,16,drip,work,Bellevue,WA
17,05,22,12,50,latte,work,Bellevue,WA
17,05,24,08,15,drip,work,Bellevue,WA
17,05,24,12,28,latte,work,Bellevue,WA
17,05,24,08,55,drip,work,Bellevue,WA
17,05,24,12,35,latte,work,Bellevue,WA
17,05,24,14,19,drip,work,Bellevue,WA
17,05,25,08,48,drip,work,Bellevue,WA
17,05,25,12,24,cold brew,work,Bellevue,WA
17,05,25,15,24,latte,work,Bellevue,WA
17,05,27,08,40,pour over,home,Tacoma,WA
17,05,27,14,44,pour over,Urban Coffee,Seattle,WA
17,05,28,09,00,pour over,home,Tacoma,WA
17,05,28,13,55,mocha,Valhalla,Tacoma,WA
17,05,28,15,00,cold brew,home,Tacoma,WA
17,05,30,13,34,drip,work,Bellevue,WA
17,05,31,08,39,drip,work,Bellevue,WA
17,05,31,12,29,drip,work,Bellevue,WA
17,05,31,15,26,drip,work,Bellevue,WA
17,06,01,08,41,drip,work,Bellevue,WA
17,06,01,13,04,latte,work,Bellevue,WA
17,06,02,08,09,drip,work,Bellevue,WA
17,06,02,14,16,drip,work,Bellevue,WA
17,06,02,18,48,drip,work,Bellevue,WA
17,06,03,16,34,drip,home,Kirkland,WA
17,06,04,09,12,drip,home,Kirkland,WA
17,06,04,13,18,pour over,home,Kirkland,WA
17,06,05,09,06,drip,work,Bellevue,WA
17,06,05,12,47,drip,work,Bellevue,WA
17,06,05,15,19,latte,work,Bellevue,WA
17,06,06,08,22,drip,work,Bellevue,WA
17,06,06,13,28,latte,work,Bellevue,WA
17,06,06,15,07,drip,work,Bellevue,WA
17,06,06,20,02,pour over,home,Kirkland,WA
17,06,07,08,14,drip,work,Bellevue,WA
17,06,07,12,41,drip,work,Bellevue,WA
17,06,07,15,40,drip,work,Bellevue,WA
17,06,08,08,48,drip,work,Bellevue,WA
17,06,08,13,27,latte,work,Bellevue,WA
17,06,07,16,23,drip,work,Bellevue,WA
17,06,09,08,04,drip,Starbucks,Bellevue,WA
17,06,09,13,11,drip,work,Bellevue,WA
17,06,09,14,30,drip,work,Bellevue,WA
17,06,10,15,50,mocha,Copper Kettle,Bellevue,WA
17,06,10,19,03,pour over,home,Kirkland,WA
17,06,11,10,09,drip,Church,Kirkland,WA
17,06,11,12,23,latte,St. James,Kirkland,WA
17,06,11,13,56,drip,St. James, Kirkland,WA
17,06,11,16,06,mocha,Aura Bakery,Kirkland,WA
17,06,12,08,39,drip,work,Bellevue,WA
17,06,12,13,13,drip,work,Bellevue,WA
17,06,13,08,25,drip,work,Bellevue,WA
17,06,13,11,36,drip,work,Bellevue,WA
17,06,13,11,30,drip,work,Bellevue,WA
17,06,13,12,56,latte,work,Bellevue,WA
17,06,14,08,05,drip,work,Bellevue,WA
17,06,14,10,12,latte,work,Bellevue,WA
17,06,14,15,22,drip,work,Bellevue,WA
17,06,15,08,21,drip,work,Bellevue,WA
17,06,15,12,50,drip,work,Bellevue,WA
17,06,15,12,55,espresso,work,Bellevue,WA
17,06,15,14,44,drip,work,Bellevue,WA
